,X,Y,GDD_2P67,inside_pol,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
45,653634.0,5900303.1845389195,8.93,0.0,0,2,4,7,9,10,10,9,7,4,0,-1,1,6,10,13,13,11,10,10,10,10,9,8,8,9,11,13,15,14,12,10,7,7,7,8,9,7,4,1,-1,-1,0,2,3,5,6,7,7,7,7,7,5,4,3,2,3,4,6,8,10,10,8,5,3,1,0,0,10,11,15,18,18,16,12,8,7,8,10,13,15,17,20,22,25,26,26,24,21,18,15,12,9,6,5,5,6,7,9,11,13
46,649684.0,5900328.1845389195,11.27,0.0,0,7,5,4,3,2,3,4,6,8,10,10,8,5,3,1,0,0,10,11,15,18,18,16,12,8,7,8,10,13,15,17,20,22,25,26,26,24,21,18,15,12,9,6,5,5,6,7,9,11,13,14,13,11,9,7,7,8,10,12,14,15,13,12,11,12,14,15,16,16,14,11,8,5,3,3,5,8,12,15,17,19,20,21,21,21,21,20,17,14,11,9,8,7,6,6,6,7,8,9,9
47,649991.0,5900336.6845389195,11.24,0.0,0,14,13,11,9,7,7,8,10,12,14,15,13,12,11,12,14,15,16,16,14,11,8,5,3,3,5,8,12,15,17,19,20,21,21,21,21,20,17,14,11,9,8,7,6,6,6,7,8,9,9,8,6,5,5,7,9,11,12,12,12,13,15,16,16,15,14,13,15,17,18,18,16,13,11,10,10,12,14,16,17,17,16,15,14,13,11,10,11,11,11,9,6,1,-2,-2,0,2,4,5,6
48,652491.0,5900336.6845389195,11.83,0.0,0,8,6,5,5,7,9,11,12,12,12,13,15,16,16,15,14,13,15,17,18,18,16,13,11,10,10,12,14,16,17,17,16,15,14,13,11,10,11,11,11,9,6,1,-2,-2,0,2,4,5,6,6,8,10,12,14,16,15,14,12,11,12,14,15,16,16,16,17,18,19,20,19,17,16,15,14,13,11,10,10,13,17,20,21,20,18,14,11,9,9,10,11,12,11,9,7,5,5,5,7,9
49,654991.0,5900336.6845389195,9.9,0.0,0,6,8,10,12,14,16,15,14,12,11,12,14,15,16,16,16,17,18,19,20,19,17,16,15,14,13,11,10,10,13,17,20,21,20,18,14,11,9,9,10,11,12,11,9,7,5,5,5,7,9,9,8,6,5,4,4,4,3,4,5,8,10,10,10,9,7,4,1,0,2,6,10,13,13,11,10,10,11,11,10,8,7,7,8,10,12,12,11,8,6,5,6,7,8,7,4,2,-1,-2,-2
50,654266.0,5900349.1845389195,8.26,0.0,0,9,8,6,5,4,4,4,3,4,5,8,10,10,10,9,7,4,1,0,2,6,10,13,13,11,10,10,11,11,10,8,7,7,8,10,12,12,11,8,6,5,6,7,8,7,4,2,-1,-2,-2,-1,0,1,3,4,6,6,6,4,3,1,-1,-1,0,2,5,8,10,10,9,6,4,2,1,1,10,11,14,17,17,15,12,9,8,9,11,14,17,19,20,22,24,25,24,23,21,18,15,12,9
51,650316.0,5900374.1845389195,11.31,0.0,0,-1,0,1,3,4,6,6,6,4,3,1,-1,-1,0,2,5,8,10,10,9,6,4,2,1,1,10,11,14,17,17,15,12,9,8,9,11,14,17,19,20,22,24,25,24,23,21,18,15,12,9,7,6,7,8,10,12,13,15,15,14,13,10,8,7,7,8,11,13,15,14,13,12,12,14,16,16,15,14,13,11,10,9,8,7,8,10,12,16,20,23,25,25,24,22,20,17,14,11,9,7
52,649591.0,5900386.68453892,12.15,0.0,0,7,6,7,8,10,12,13,15,15,14,13,10,8,7,7,8,11,13,15,14,13,12,12,14,16,16,15,14,13,11,10,9,8,7,8,10,12,16,20,23,25,25,24,22,20,17,14,11,9,7,6,5,4,4,5,6,6,6,5,5,5,6,8,11,12,13,14,14,15,15,15,14,13,12,12,14,16,18,18,16,14,12,12,13,14,16,17,18,18,17,15,13,11,9,9,9,10,11,10,8
53,652091.0,5900386.68453892,11.97,0.0,0,6,5,4,4,5,6,6,6,5,5,5,6,8,11,12,13,14,14,15,15,15,14,13,12,12,14,16,18,18,16,14,12,12,13,14,16,17,18,18,17,15,13,11,9,9,9,10,11,10,8,5,3,1,2,3,4,5,6,7,9,11,13,15,16,16,15,14,13,13,15,15,15,15,14,14,16,18,19,19,19,18,18,17,15,13,11,11,13,15,17,18,18,16,14,11,10,9,10,12,12
54,654591.0,5900386.68453892,10.11,0.0,0,5,3,1,2,3,4,5,6,7,9,11,13,15,16,16,15,14,13,13,15,15,15,15,14,14,16,18,19,19,19,18,18,17,15,13,11,11,13,15,17,18,18,16,14,11,10,9,10,12,12,11,10,7,6,6,7,9,10,10,10,9,8,7,7,6,5,5,6,8,9,10,9,8,6,4,2,2,4,8,11,13,12,11,10,10,10,10,10,8,6,5,5,7,9,10,9,7,5,3,3
